forecast_time,request_id,power_output_w,power_output_f0_w,power_output_f10_w,power_output_f25_w,power_output_f50_w,power_output_f75_w,power_output_f90_w,power_output_f100_w,system_temperature_c,nominal_output_efficiency,air_temperature_c,cloud_cover_total,cloud_cover_high,cloud_cover_medium,cloud_cover_low,system_radiation_global_wm2,system_radiation_direct_wm2,system_radiation_diffuse_wm2,radiation_global_wm2,radiation_direct_wm2,radiation_diffuse_wm2,Unnamed: 23
2021-05-26 13:00:00,6899,3836.9,0.0,1413.6,2004.5,2900.4,4186.4,4598.0,4699.5,28.44,0.981,12.5,98.8,0.0,42.5,98.2,608.22,0.0,600.25,586.29,0.0,586.29,
2021-05-26 14:00:00,6899,1224.0,1204.0,1524.2,2389.7,3506.0,4034.1,4424.8,4626.6,17.59,0.951,12.3,95.6,0.0,94.1,51.7,198.8,29.85,166.41,199.55,29.85,178.05,
2021-05-26 15:00:00,6899,2864.9,1830.6,2544.7,3128.6,4128.9,4623.2,4942.4,5119.5,23.51,0.993,12.1,98.6,0.0,87.5,89.0,444.48,98.62,340.07,409.24,98.62,340.15,
2021-05-26 16:00:00,6899,3538.5,2914.4,3472.6,4043.5,4615.2,5050.4,5251.5,5347.7,26.34,0.988,12.65,97.7,0.0,92.3,74.0,547.05,215.95,323.6,448.76,215.95,307.22,
2021-05-26 17:00:00,6899,2216.2,2212.9,2743.0,3385.8,3982.3,4405.0,4539.4,4632.9,20.98,0.989,12.45,95.3,0.0,85.7,74.4,343.86,101.35,236.79,286.82,101.35,227.23,
2021-05-26 18:00:00,6899,3737.1,2032.4,3089.4,3538.7,4133.4,4486.3,4549.3,4632.7,26.49,0.989,12.45,28.9,9.0,0.8,21.3,575.69,257.73,307.08,403.42,257.73,273.8,
2021-05-26 19:00:00,6899,3485.0,2648.1,3223.7,3561.2,3741.8,3874.1,3927.5,3982.9,25.38,0.992,12.6,17.3,2.1,3.3,12.7,536.6,210.68,314.2,339.67,210.68,254.12,
2021-05-26 20:00:00,6899,3037.7,2647.6,2833.8,3050.1,3147.4,3211.0,3231.5,3256.7,23.31,0.996,12.1,5.1,4.1,0.0,1.1,466.63,168.76,286.25,252.87,168.76,201.56,
2021-05-26 21:00:00,6899,2289.5,1783.8,2178.0,2244.2,2283.0,2314.7,2340.6,2360.7,20.13,0.995,11.45,23.5,0.0,0.0,23.5,353.47,104.91,238.47,159.15,104.91,137.75,
2021-05-26 22:00:00,6899,1094.7,849.3,951.5,1115.1,1181.2,1190.6,1200.0,1206.3,14.93,0.95,10.55,23.9,23.9,0.0,0.0,178.26,30.04,141.61,69.6,30.04,66.21,
